new,host,ttl,a,soa,has_internal_ips,internal_ips,status_code,mx,ns,txt,cname,aaaa,cdn,cdn-name,caa
[x],crowde.liquidweb.com,3600,,"{'name': 'crowde.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'page-icq.liquidweb.com', 'serial': 2003100901, 'refresh': 3600, 'retry': 3600, 'expire': 3600, 'minttl': 3600}, {'name': 'crowde.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'page-icq.liquidweb.com', 'serial': 2003100901, 'refresh': 3600, 'retry': 3600, 'expire': 3600, 'minttl': 3600}, {'name': 'crowde.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'page-icq.liquidweb.com', 'serial': 2003100901, 'refresh': 3600, 'retry': 3600, 'expire': 3600, 'minttl': 3600}, {'name': 'crowde.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'page-icq.liquidweb.com', 'serial': 2003100901, 'refresh': 3600, 'retry': 3600, 'expire': 3600, 'minttl': 3600}, {'name': 'crowde.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'page-icq.liquidweb.com', 'serial': 2003100901, 'refresh': 3600, 'retry': 3600, 'expire': 3600, 'minttl': 3600}",,,NOERROR,crowde.liquidweb.com,"ns.liquidweb.com, ns1.liquidweb.com",,,,,,
[x],cs4.liquidweb.com,300,198.172.235.136,"{'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}",,,NOERROR,,,,,,,,
[x],cs5.liquidweb.com,194,198.172.235.138,"{'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}",,,NOERROR,,,,,,,,
[x],cs6.liquidweb.com,190,198.172.235.140,"{'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}",,,NOERROR,,,,,,,,
[x],custfw.liquidweb.com,600,127.0.0.1,"{'name': 'custfw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2019092404, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'custfw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2019092404, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'custfw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2019092404, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'custfw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2019092404, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}",True,127.0.0.1,NOERROR,,"ns1.liquidweb.com, ns.liquidweb.com",,,,,,
[x],cx.liquidweb.com,300,142.250.80.115,"{'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 673764322, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 673764322, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 674223930, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 674223930, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",,,NOERROR,,,,ghs.googlehosted.com,2a00:1450:4001:831::2013,True,google,
[x],cylon.liquidweb.com,3600,"69.16.222.254, 69.16.223.254","{'name': 'cylon.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2008101601, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'cylon.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2008101601, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'cylon.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2008101601, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'cylon.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2008101601, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'cylon.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2008101601, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}",,,NOERROR,cylon.liquidweb.com,"ns1.liquidweb.com, ns.liquidweb.com",,,"2607:fad0:0:8917::a, 2607:fad0:0:8927::a",,,
[x],dashboard.int.liquidweb.com,2064,,"{'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}",,,NOERROR,,,,,,,,
[x],data.liquidweb.com,21600,"10.30.6.22, 69.16.223.254, 69.16.222.254","{'name': 'data.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2010051911, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'data.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2010051911, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'data.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2010051911, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'data.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2010051911, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}",True,10.30.6.22,NOERROR,data.liquidweb.com,"ns.liquidweb.com, ns1.liquidweb.com",,,"2607:fad0:0:8917::a, 2607:fad0:0:8927::a",,,
[x],db.noc.liquidweb.com,300,10.255.254.104,"{'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}",True,10.255.254.104,NOERROR,,,,,,,,
[x],db01.noc.liquidweb.com,300,10.255.254.102,"{'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}",True,10.255.254.102,NOERROR,,,,,,,,
[x],db02.noc.liquidweb.com,300,10.255.254.103,"{'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}, {'name': 'noc.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024080804, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 3600}",True,10.255.254.103,NOERROR,,,,,,,,
[x],dbmsclients-controllerclients-stats-corp.ent.liquidweb.com,300,10.30.63.4,"{'name': 'ent.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024042401, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'ent.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024042401, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'ent.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024042401, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'ent.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024042401, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'ent.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024042401, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}",True,10.30.63.4,NOERROR,,,,,,,,
[x],dc2-gateway.pbx.liquidweb.com,300,67.227.179.132,"{'name': 'pbx.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024082002, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 300}, {'name': 'pbx.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024082002, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 300}, {'name': 'pbx.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024082002, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 300}",,,NOERROR,,,_globalsign-domain-verification=ARqmj_SNyqo2dtmZeo37qNImSSxUtbUcJxR6rNLiu8,,,,,
[x],dc2-hustle01.liquidweb.com,1,67.227.140.73,"{'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}",,,NOERROR,,,,,,,,
[x],dc2-oob.liquidweb.com,300,10.20.64.2,"{'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}",True,10.20.64.2,NOERROR,,,,,,,,
[x],dc2fwtunnel.liquidweb.com,300,67.225.201.70,"{'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}, {'name': 'liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.liquidweb.com', 'serial': 2024082802, 'refresh': 3600, 'retry': 600, 'expire': 172800, 'minttl': 7200}",,,NOERROR,,,,,,,,
[x],dc2officefw-outside.rtr.liquidweb.com,600,50.28.76.132,"{'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}",,,NOERROR,,,,,,,,
[x],dc2officefw1-mgmt.fw.liquidweb.com,600,10.20.2.2,"{'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}",True,10.20.2.2,NOERROR,,,,,,,,
[x],dc2officefw1-mgmt.rtr.liquidweb.com,600,,"{'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}",,,NOERROR,,,_globalsign-domain-verification=CK8hEELZ107oKqNxPxqilbzrVEmsk2CD8EstsBi_07,,,,,
[x],dc2officefw1.fw.liquidweb.com,3600,10.20.2.2,"{'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}, {'name': 'fw.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'admin.liquidweb.com', 'serial': 2024070301, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 14400}",True,10.20.2.2,NOERROR,,,,,,,,
[x],dc2officefw1.rtr.liquidweb.com,300,50.28.76.132,"{'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'rtr.liquidweb.com', 'ns': 'ns.liquidweb.com', 'mailbox': 'root.ns.liquidweb.com', 'serial': 2024040104, 'refresh': 28800, 'retry': 7200, 'expire': 3600000, 'minttl': 600}",,,NOERROR,,,,,,,,
